nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:9090].  

  Press Ctrl+C to stop the server
  2026-08-13 09:47:20 /build/assets/useCalendarLocale-BPGkF3lx.js .. ~ 0.03ms
  2026-08-13 09:47:20 /build/assets/Edit-BpXviijz.js ............... ~ 0.12ms
  2026-08-13 09:47:20 /build/assets/PopperContent-BTNI29EK.js ...... ~ 0.03ms
  2026-08-13 09:47:20 /build/assets/core-DqAwJdv3.js ............... ~ 0.10ms
  2026-08-13 09:47:20 /build/assets/button-BTTi7SDU.js ............. ~ 0.27ms
  2026-08-13 09:47:20 /build/assets/tabler-icons-vue-IynuKI1e.js ... ~ 0.43ms
  2026-08-13 09:47:20 /build/assets/createContext-DaDdvz1Q.js ...... ~ 0.50ms
  2026-08-13 09:47:20 /build/assets/avatar-CaemH612.js ............. ~ 0.39ms
  2026-08-13 09:47:20 /build/assets/calendar-C7X2EAOO.js ........... ~ 0.04ms
  2026-08-13 09:47:20 /build/assets/utils-B8GuMAhl.js .............. ~ 0.16ms
  2026-08-13 09:47:20 /build/assets/select-zx0caq-Y.js ............. ~ 0.03ms
  2026-08-13 09:47:20 /build/assets/FocusScope-CYx6H_9V.js ......... ~ 0.05ms
  2026-08-13 09:47:20 /build/assets/ohash.D__AXeF1-Bg1VnB0V.js ..... ~ 0.19ms
  2026-08-13 09:47:20 /build/assets/separator-1RK1Bc3I.js .......... ~ 0.28ms
  2026-08-13 09:47:20 /build/assets/useFormControl-BRg5RSpq.js ..... ~ 0.43ms
  2026-08-13 09:47:20 /build/assets/useKbd-D5ogEQRo.js ............. ~ 0.42ms
  2026-08-13 09:47:20 /build/assets/dialog-OyJtxarH.js ............. ~ 0.58ms
  2026-08-13 09:47:20 /build/assets/AppLayout-bA2qkYf_.js .......... ~ 0.62ms
  2026-08-13 09:47:20 /build/assets/tooltip-Cz_94xSI.js ............ ~ 0.61ms
  2026-08-13 09:47:20 /build/assets/RovingFocusGroup-sLwXrav5.js ... ~ 0.64ms
  2026-08-13 09:47:20 /build/assets/useWorkspaceRole-CC4ybjcu.js ... ~ 0.58ms
  2026-08-13 09:47:20 /build/assets/input-C_efJ9f2.js .............. ~ 0.52ms
  2026-08-13 09:47:20 /build/assets/bluesky-rpJ3PDxS.js ............ ~ 0.41ms
  2026-08-13 09:47:20 /build/assets/app-Ce40fLGO.js ................ ~ 0.71ms
  2026-08-13 09:47:20 /build/assets/wayfinder-Bh70ToPC.js .......... ~ 0.63ms
  2026-08-13 09:47:20 /build/assets/facebook-DwZ9bqPA.js ........... ~ 0.80ms
  2026-08-13 09:47:20 /build/assets/instagram-facebook-bSSjVdPB.js . ~ 0.91ms
  2026-08-13 09:47:20 /build/assets/linkedin-CQtUfRGO.js ........... ~ 1.13ms
  2026-08-13 09:47:20 /build/assets/mastodon-CdcPKdKc.js ........... ~ 1.09ms
  2026-08-13 09:47:20 /build/assets/welcome-DWPlpLcW.js ............ ~ 1.18ms
  2026-08-13 09:47:20 /build/assets/workspaces-DtMydsUB.js ......... ~ 1.15ms
  2026-08-13 09:47:20 /build/assets/routes-CpuLwph5.js ............. ~ 1.16ms
  2026-08-13 09:47:20 /build/assets/AppLayout-DdDFLSH-.css ......... ~ 1.16ms
  2026-08-13 09:47:20 /build/assets/label-9qEKBa0s.js .............. ~ 1.14ms
  2026-08-13 09:47:20 /build/assets/command-C1qhAQ0W.js ............ ~ 1.19ms
  2026-08-13 09:47:20 /build/assets/ListboxItem-phMBTlsL.js ........ ~ 1.16ms
  2026-08-13 09:47:20 /build/assets/VisuallyHiddenInput-B-X-2RFJ.js  ~ 1.13ms
  2026-08-13 09:47:20 /build/assets/popover-BuF8nwRB.js ............ ~ 0.98ms
  2026-08-13 09:47:20 /build/assets/tabs-Do1cApjO.js ............... ~ 0.98ms
  2026-08-13 09:47:20 /build/assets/RovingFocusItem-5Zmha37h.js .... ~ 1.01ms
  2026-08-13 09:47:20 /build/assets/usePostCompliance-68Q1YGW3.js .. ~ 0.98ms
  2026-08-13 09:47:20 /build/assets/checkbox-DxFqRFOj.js ........... ~ 1.01ms
  2026-08-13 09:47:20 /build/assets/combobox-CJ5TxGCA.js ........... ~ 1.01ms
  2026-08-13 09:47:20 /build/assets/InputError-DvuaAZHb.js ......... ~ 1.02ms
  2026-08-13 09:47:20 /build/assets/useMedia-CJ5hU_yH.js ........... ~ 1.11ms
  2026-08-13 09:47:20 /build/assets/date-BYsCFjU8.js ............... ~ 1.18ms
  2026-08-13 09:47:20 /build/assets/mediaType-B-hyaVWm.js .......... ~ 1.24ms
  2026-08-13 09:47:20 /build/assets/usePlatformLogo-ATeAMjjN.js .... ~ 1.11ms
  2026-08-13 09:47:20 /build/assets/content-type-DaWcjRm9.js ....... ~ 1.02ms
  2026-08-13 09:47:20 /build/assets/platform-CgfdAqyZ.js ........... ~ 0.97ms
  2026-08-13 09:47:20 /build/assets/post-CoVPaGrt.js ............... ~ 0.94ms
  2026-08-13 09:47:20 /build/assets/ConfirmDeleteModal-BxzxNQLh.js . ~ 0.99ms
  2026-08-13 09:47:20 /build/assets/ImagePreviewDialog-CGqWeuZi.js . ~ 1.09ms
  2026-08-13 09:47:20 /build/assets/GalleryBrowser-C1cRnUP4.js ..... ~ 1.02ms
  2026-08-13 09:47:20 /build/assets/EmptyState-tdqGiatA.js ......... ~ 0.94ms
  2026-08-13 09:47:20 /build/assets/debounce-DVFE89n3.js ........... ~ 1.20ms
